2026-07-16 20:30:23,user1,Server,system_leave,user1 disconnected.
2026-07-16 20:31:01,user2,ALL,broadcast,hey i am using chat service
2026-07-16 20:31:14,user3,ALL,broadcast,i am also using chat service made by nitinn
2026-07-16 20:32:18,user4,ALL,broadcast,hi from my side
2026-07-16 20:32:35,user3,user3,private,what are doing now
2026-07-16 20:32:57,user4,ALL,broadcast,hello friends how these days are going on
2026-07-16 20:33:23,user2,user3,private,i am doing assigment7
2026-07-16 20:33:59,user3,ALL,broadcast,guys are you in college or else
2026-07-16 20:34:06,user4,ALL,broadcast,i am in college
2026-07-16 20:34:33,user2,ALL,broadcast,i made recently my ticket
2026-07-16 20:35:45,user4,ALL,broadcast,had result shown ?
2026-07-16 20:35:53,user3,ALL,broadcast,not sure i have to check
2026-07-16 20:36:09,user2,ALL,broadcast,i think they will delay this year too
2026-07-16 20:36:20,user4,ALL,broadcast,:)
2026-07-16 20:36:26,user3,ALL,broadcast,:)
2026-07-16 20:36:33,user2,ALL,broadcast,:)
2026-07-16 20:37:30,user3,ALL,broadcast,okay bye friend will talk tommorow
2026-07-16 20:37:35,user2,ALL,broadcast,me too
2026-07-16 20:37:42,user4,ALL,broadcast,same from my side
2026-07-16 20:39:18,user3,ALL,broadcast,exit
2026-07-16 20:42:35,user2,Server,system_leave,user2 disconnected.
2026-07-16 20:42:45,user4,Server,system_leave,user4 disconnected.
2026-07-16 20:42:50,user3,ALL,broadcast,hlo
2026-07-16 20:43:15,user3,Server,system_leave,user3 disconnected.
